t,x,y,z
4.550000000000000225e-03,2.137943983302659223e+00,-1.015755498329732553e+00,4.549999999999991829e+00
4.599999999999999922e-03,2.088264827879183994e+00,-1.021410718609278678e+00,4.599999999999991651e+00
4.650000000000000487e-03,2.038365148213661993e+00,-1.024576468011599850e+00,4.649999999999991473e+00
4.700000000000000185e-03,1.988369615585707351e+00,-1.025244837106584095e+00,4.699999999999991296e+00
4.749999999999999882e-03,1.938403140757663623e+00,-1.023414156015168386e+00,4.749999999999991118e+00
4.800000000000000447e-03,1.888590561892748765e+00,-1.019088998581428651e+00,4.799999999999990941e+00
4.850000000000000144e-03,1.839056332654585235e+00,-1.012280170945111912e+00,4.849999999999990763e+00
4.899999999999999842e-03,1.789924211267378329e+00,-1.003004684543161051e+00,4.899999999999990585e+00
4.950000000000000407e-03,1.741316951313607087e+00,-9.912857136076856923e-01,4.949999999999990408e+00
5.000000000000000104e-03,1.693355995041750717e+00,-9.771525372665695874e-01,4.999999999999990230e+00
5.050000000000000669e-03,1.646161169950302261e+00,-9.606404663913709063e-01,5.049999999999990052e+00
5.100000000000000366e-03,1.599850389406135998e+00,-9.417907553752817851e-01,5.099999999999989875e+00
5.150000000000000064e-03,1.554539358045214925e+00,-9.206504990615654860e-01,5.149999999999989697e+00
5.200000000000000629e-03,1.510341282691676001e+00,-8.972725150799877314e-01,5.199999999999989519e+00
5.250000000000000326e-03,1.467366589517545838e+00,-8.717152118852182774e-01,5.249999999999989342e+00
5.300000000000000024e-03,1.425722648149742922e+00,-8.440424428269004409e-01,5.299999999999989164e+00
5.350000000000000588e-03,1.385513503413670744e+00,-8.143233466159857104e-01,5.349999999999988987e+00
5.400000000000000286e-03,1.346839615383623068e+00,-7.826321745859180501e-01,5.399999999999988809e+00
5.449999999999999983e-03,1.309797608389468904e+00,-7.490481051802453383e-01,5.449999999999988631e+00
5.500000000000000548e-03,1.274480029606708920e+00,-7.136550461301497394e-01,5.499999999999988454e+00
5.550000000000000246e-03,1.240975117833051478e+00,-6.765414248161437660e-01,5.549999999999988276e+00
5.599999999999999943e-03,1.209366583029205300e+00,-6.377999673377001688e-01,5.599999999999988098e+00
5.650000000000000508e-03,1.179733397174692833e+00,-5.975274668427975611e-01,5.649999999999987921e+00
5.700000000000000205e-03,1.152149596961218103e+00,-5.558245416961953289e-01,5.699999999999987743e+00
5.749999999999999903e-03,1.126684098816547186e+00,-5.127953840906394056e-01,5.749999999999987566e+00
5.800000000000000468e-03,1.103400526721054264e+00,-4.685474997290793864e-01,5.799999999999987388e+00
5.850000000000000165e-03,1.082357053247120282e+00,-4.231914392282837278e-01,5.849999999999987210e+00
5.899999999999999863e-03,1.063606254218540048e+00,-3.768405219149252305e-01,5.899999999999987033e+00
5.950000000000000427e-03,1.047194977353061551e+00,-3.296105527042152428e-01,5.949999999999986855e+00
6.000000000000000125e-03,1.033164225216244958e+00,-2.816195327684478666e-01,5.999999999999986677e+00
6.050000000000000690e-03,1.021549052779075595e+00,-2.329873647183308416e-01,6.049999999999986500e+00
6.100000000000000387e-03,1.012378479835275069e+00,-1.838355530336895638e-01,6.099999999999986322e+00
6.150000000000000085e-03,1.005675418497132823e+00,-1.342869004919997056e-01,6.149999999999986144e+00
6.200000000000000649e-03,1.001456615951002771e+00,-8.446520135320305378e-02,6.199999999999985967e+00
6.250000000000000347e-03,9.997326126154885140e-01,-3.449493206736529288e-02,6.249999999999985789e+00
6.300000000000000044e-03,1.000507715806856268e+00,1.549905972207613059e-02,6.299999999999985612e+00
6.350000000000000609e-03,1.003779988977469895e+00,6.539186710246802647e-02,6.349999999999985434e+00
6.400000000000000307e-03,1.009541256554135957e+00,1.150588359641779301e-01,6.399999999999985256e+00
6.450000000000000004e-03,1.017777124364270813e+00,1.643758764412177886e-01,6.449999999999985079e+00
6.500000000000000569e-03,1.028467015598854672e+00,2.132197729421396737e-01,6.499999999999984901e+00
6.550000000000000266e-03,1.041584222222323497e+00,2.614684919966102639e-01,6.549999999999984723e+00
6.599999999999999964e-03,1.057095971700952042e+00,3.090014871485284309e-01,6.599999999999984546e+00
